Algorithm,Instance,Run,Time.s,Accuracy
Standard,Inst1,1,194.1,0.931
Standard,Inst1,2,223.8,0.945
Standard,Inst1,3,173.2,0.912
Standard,Inst1,4,167.9,0.941
Standard,Inst1,5,174.9,0.966
Standard,Inst1,6,180.1,0.928
Standard,Inst1,7,206.8,0.923
Standard,Inst1,8,180.3,0.908
Standard,Inst1,9,208.8,0.927
Standard,Inst1,10,207.7,0.934
Standard,Inst1,11,228.3,0.926
Standard,Inst1,12,215.5,0.914
Standard,Inst1,13,164.2,0.965
Standard,Inst1,14,152.6,0.938
Standard,Inst1,15,180.5,0.923
Standard,Inst1,16,199.8,0.931
Standard,Inst1,17,226.3,0.947
Standard,Inst1,18,162.6,0.92
Standard,Inst1,19,170.7,0.917
Standard,Inst1,20,207.8,0.943
Standard,Inst1,21,224.5,0.924
Standard,Inst1,22,178.8,0.911
Standard,Inst1,23,182,0.915
Standard,Inst1,24,185,0.922
Standard,Inst1,25,175.9,0.928
Standard,Inst1,26,201.4,0.925
Standard,Inst1,27,184.1,0.98
Standard,Inst1,28,216.7,0.947
Standard,Inst1,29,182.4,0.914
Standard,Inst1,30,178.8,0.922
Standard,Inst2,1,162.8,0.844
Standard,Inst2,2,197.7,0.844
Standard,Inst2,3,180.9,0.873
Standard,Inst2,4,178.8,0.835
Standard,Inst2,5,141.3,0.826
Standard,Inst2,6,162.3,0.803
Standard,Inst2,7,139.9,0.827
Standard,Inst2,8,172.4,0.868
Standard,Inst2,9,184.9,0.866
Standard,Inst2,10,140.7,0.863
Standard,Inst2,11,152.5,0.843
Standard,Inst2,12,120.9,0.858
Standard,Inst2,13,158.7,0.871
Standard,Inst2,14,178.8,0.842
Standard,Inst2,15,174.9,0.856
Standard,Inst2,16,186,0.851
Standard,Inst2,17,203.6,0.827
Standard,Inst2,18,133,0.853
Standard,Inst2,19,199.2,0.856
Standard,Inst2,20,175.4,0.87
Standard,Inst2,21,169.4,0.877
Standard,Inst2,22,141.6,0.84
Standard,Inst2,23,181.4,0.859
Standard,Inst2,24,148.4,0.863
Standard,Inst2,25,175,0.884
Standard,Inst2,26,132.6,0.861
Standard,Inst2,27,140,0.818
Standard,Inst2,28,153.5,0.833
Standard,Inst2,29,189.9,0.86
Standard,Inst2,30,165.8,0.875
Standard,Inst3,1,158.6,0.835
Standard,Inst3,2,132.2,0.862
Standard,Inst3,3,141.5,0.851
Standard,Inst3,4,174.2,0.872
Standard,Inst3,5,179,0.845
Standard,Inst3,6,195.7,0.86
Standard,Inst3,7,164.9,0.836
Standard,Inst3,8,153.6,0.859
Standard,Inst3,9,181,0.875
Standard,Inst3,10,211.6,0.892
Standard,Inst3,11,164.7,0.878
Standard,Inst3,12,173.4,0.85
Standard,Inst3,13,173,0.847
Standard,Inst3,14,185.9,0.84
Standard,Inst3,15,139.5,0.861
Standard,Inst3,16,157.2,0.855
Standard,Inst3,17,164,0.824
Standard,Inst3,18,186.3,0.883
Standard,Inst3,19,208,0.824
Standard,Inst3,20,171.7,0.879
Standard,Inst3,21,174.6,0.881
Standard,Inst3,22,171,0.886
Standard,Inst3,23,190.3,0.884
Standard,Inst3,24,188.1,0.861
Standard,Inst3,25,157.6,0.853
Standard,Inst3,26,188.2,0.885
Standard,Inst3,27,167.6,0.839
Standard,Inst3,28,163.8,0.892
Standard,Inst3,29,189.8,0.868
Standard,Inst3,30,168,0.831
Standard,Inst4,1,181.2,0.867
Standard,Inst4,2,190.9,0.861
Standard,Inst4,3,157.7,0.861
Standard,Inst4,4,205.4,0.848
Standard,Inst4,5,202.8,0.877
Standard,Inst4,6,175.7,0.861
Standard,Inst4,7,180.9,0.895
Standard,Inst4,8,201.6,0.829
Standard,Inst4,9,160,0.845
Standard,Inst4,10,191.6,0.85
Standard,Inst4,11,218.3,0.842
Standard,Inst4,12,190.8,0.865
Standard,Inst4,13,190.9,0.866
Standard,Inst4,14,202.6,0.869
Standard,Inst4,15,168.7,0.877
Standard,Inst4,16,205.6,0.878
Standard,Inst4,17,184.1,0.866
Standard,Inst4,18,166.2,0.843
Standard,Inst4,19,185.7,0.839
Standard,Inst4,20,201,0.877
Standard,Inst4,21,193.4,0.861
Standard,Inst4,22,202.3,0.862
Standard,Inst4,23,178.3,0.857
Standard,Inst4,24,202.4,0.849
Standard,Inst4,25,199.3,0.847
Standard,Inst4,26,205.2,0.854
Standard,Inst4,27,184.1,0.838
Standard,Inst4,28,204.6,0.852
Standard,Inst4,29,190,0.835
Standard,Inst4,30,194.9,0.872
Standard,Inst5,1,131,0.936
Standard,Inst5,2,144.5,0.914
Standard,Inst5,3,131.6,0.928
Standard,Inst5,4,151.5,0.934
Standard,Inst5,5,162.2,0.889
Standard,Inst5,6,156.1,0.859
Standard,Inst5,7,111.4,0.907
Standard,Inst5,8,150.6,0.949
Standard,Inst5,9,145.4,0.921
Standard,Inst5,10,178.4,0.912
Standard,Inst5,11,132.5,0.89
Standard,Inst5,12,160.8,0.862
Standard,Inst5,13,160.8,0.923
Standard,Inst5,14,145.2,0.914
Standard,Inst5,15,157.5,0.893
Standard,Inst5,16,142.1,0.928
Standard,Inst5,17,157.8,0.912
Standard,Inst5,18,172.2,0.948
Standard,Inst5,19,124.2,0.922
Standard,Inst5,20,152.1,0.938
Standard,Inst5,21,152.1,0.881
Standard,Inst5,22,109,0.939
Standard,Inst5,23,138.3,0.909
Standard,Inst5,24,162.5,0.928
Standard,Inst5,25,148.1,0.896
Standard,Inst5,26,169.6,0.904
Standard,Inst5,27,156.5,0.899
Standard,Inst5,28,187.5,0.921
Standard,Inst5,29,136.8,0.918
Standard,Inst5,30,138.1,0.888
Standard,Inst6,1,206.6,0.891
Standard,Inst6,2,223.4,0.904
Standard,Inst6,3,173.1,0.921
Standard,Inst6,4,220.3,0.947
Standard,Inst6,5,237.4,0.928
Standard,Inst6,6,195.6,0.883
Standard,Inst6,7,221.9,0.909
Standard,Inst6,8,190.6,0.9
Standard,Inst6,9,200.1,0.894
Standard,Inst6,10,203.3,0.912
Standard,Inst6,11,200.1,0.913
Standard,Inst6,12,227.5,0.895
Standard,Inst6,13,235,0.93
Standard,Inst6,14,213.6,0.925
Standard,Inst6,15,189.2,0.896
Standard,Inst6,16,225.4,0.875
Standard,Inst6,17,200.3,0.895
Standard,Inst6,18,200.3,0.903
Standard,Inst6,19,186.1,0.89
Standard,Inst6,20,204.9,0.903
Standard,Inst6,21,177.1,0.902
Standard,Inst6,22,173.4,0.9
Standard,Inst6,23,192.3,0.896
Standard,Inst6,24,218,0.901
Standard,Inst6,25,189.9,0.916
Standard,Inst6,26,217.1,0.923
Standard,Inst6,27,203.9,0.874
Standard,Inst6,28,227.7,0.895
Standard,Inst6,29,169.6,0.918
Standard,Inst6,30,198.7,0.911
Standard,Inst7,1,173.3,0.924
Standard,Inst7,2,184.2,0.914
Standard,Inst7,3,183.6,0.946
Standard,Inst7,4,149,0.924
Standard,Inst7,5,166.6,0.902
Standard,Inst7,6,183.8,0.929
Standard,Inst7,7,196.9,0.916
Standard,Inst7,8,194.3,0.953
Standard,Inst7,9,171.2,0.926
Standard,Inst7,10,216.3,0.929
Standard,Inst7,11,183.1,0.882
Standard,Inst7,12,202.6,0.929
Standard,Inst7,13,203.7,0.938
Standard,Inst7,14,243,0.868
Standard,Inst7,15,210.6,0.93
Standard,Inst7,16,169.2,0.907
Standard,Inst7,17,187.8,0.891
Standard,Inst7,18,205.4,0.88
Standard,Inst7,19,144.2,0.914
Standard,Inst7,20,198,0.935
Standard,Inst7,21,165.7,0.91
Standard,Inst7,22,229.7,0.916
Standard,Inst7,23,161.1,0.94
Standard,Inst7,24,169.4,0.904
Standard,Inst7,25,164.4,0.896
Standard,Inst7,26,171,0.89
Standard,Inst7,27,154,0.932
Standard,Inst7,28,176.1,0.941
Standard,Inst7,29,172.7,0.888
Standard,Inst7,30,201.8,0.906
Standard,Inst8,1,174.6,0.881
Standard,Inst8,2,178.1,0.926
Standard,Inst8,3,207.4,0.87
Standard,Inst8,4,129.7,0.878
Standard,Inst8,5,151.3,0.886
Standard,Inst8,6,181.5,0.887
Standard,Inst8,7,179.3,0.873
Standard,Inst8,8,169.3,0.876
Standard,Inst8,9,176.8,0.866
Standard,Inst8,10,165.2,0.875
Standard,Inst8,11,152.4,0.88
Standard,Inst8,12,199.4,0.904
Standard,Inst8,13,164.7,0.87
Standard,Inst8,14,161.9,0.861
Standard,Inst8,15,153.1,0.907
Standard,Inst8,16,166.8,0.887
Standard,Inst8,17,179.7,0.866
Standard,Inst8,18,204.9,0.875
Standard,Inst8,19,138.9,0.849
Standard,Inst8,20,158.7,0.889
Standard,Inst8,21,139.4,0.865
Standard,Inst8,22,179.3,0.87
Standard,Inst8,23,160.7,0.9
Standard,Inst8,24,154.4,0.886
Standard,Inst8,25,163.7,0.853
Standard,Inst8,26,197.8,0.899
Standard,Inst8,27,172.8,0.847
Standard,Inst8,28,163.1,0.861
Standard,Inst8,29,169.5,0.874
Standard,Inst8,30,201.3,0.853
Standard,Inst9,1,225.4,0.902
Standard,Inst9,2,174.6,0.875
Standard,Inst9,3,225.6,0.883
Standard,Inst9,4,177.8,0.904
Standard,Inst9,5,156,0.901
Standard,Inst9,6,193.5,0.885
Standard,Inst9,7,198.5,0.887
Standard,Inst9,8,185.9,0.921
Standard,Inst9,9,213.8,0.863
Standard,Inst9,10,215.6,0.873
Standard,Inst9,11,201.1,0.934
Standard,Inst9,12,222.1,0.89
Standard,Inst9,13,181.8,0.901
Standard,Inst9,14,189.8,0.899
Standard,Inst9,15,200.9,0.904
Standard,Inst9,16,225.3,0.914
Standard,Inst9,17,212.8,0.908
Standard,Inst9,18,219.2,0.896
Standard,Inst9,19,182.8,0.955
Standard,Inst9,20,214.4,0.897
Standard,Inst9,21,190.9,0.864
Standard,Inst9,22,210,0.894
Standard,Inst9,23,196.2,0.867
Standard,Inst9,24,222.1,0.9
Standard,Inst9,25,181.4,0.905
Standard,Inst9,26,175.1,0.878
Standard,Inst9,27,180,0.884
Standard,Inst9,28,206.8,0.894
Standard,Inst9,29,192.4,0.88
Standard,Inst9,30,187.5,0.904
Standard,Inst10,1,178.1,0.883
Standard,Inst10,2,192.2,0.9
Standard,Inst10,3,177.2,0.91
Standard,Inst10,4,128.7,0.903
Standard,Inst10,5,140.2,0.916
Standard,Inst10,6,180.4,0.925
Standard,Inst10,7,129.9,0.891
Standard,Inst10,8,190.5,0.858
Standard,Inst10,9,168.3,0.922
Standard,Inst10,10,200.3,0.872
Standard,Inst10,11,169.2,0.877
Standard,Inst10,12,172.5,0.916
Standard,Inst10,13,189.5,0.863
Standard,Inst10,14,166.5,0.886
Standard,Inst10,15,165.6,0.901
Standard,Inst10,16,159.8,0.897
Standard,Inst10,17,196.9,0.879
