Riser,LogTTF
Riser1,8.98421
Riser1,9.67838
Riser1,8.5801
Riser1,9.30338
Riser1,9.00614
Riser1,8.52335
Riser1,9.63827
Riser1,8.52599
Riser1,8.57555
Riser1,8.45201
Riser1,8.29818
Riser1,8.65656
Riser1,8.66395
Riser1,8.89763
Riser1,9.32063
Riser1,9.47228
Riser1,9.34721
Riser1,8.84467
Riser1,8.907
Riser1,8.64913
Riser1,8.99616
Riser1,9.74369
Riser1,8.55931
Riser1,8.86362
Riser1,8.68932
Riser1,8.22371
Riser1,9.77982
Riser1,8.75594
Riser1,8.5626
Riser1,9.11245
Riser1,9.10054
Riser1,9.01406
Riser1,8.9616
Riser1,9.02415
Riser1,8.5828
Riser1,10.10335
Riser1,8.64289
Riser1,8.93902
Riser1,10.02414
Riser1,8.46883
Riser1,8.6517
Riser1,8.66315
Riser1,8.80239
Riser1,9.855
Riser1,10.30153
Riser1,8.76473
Riser1,8.59753
Riser1,8.60789
Riser1,7.43773
Riser1,9.38337
Riser1,7.81566
Riser1,8.90125
Riser1,8.72539
Riser1,8.80726
Riser1,8.90397
Riser1,8.70591
Riser1,8.94108
Riser1,9.54084
Riser1,8.39122
Riser1,8.90845
Riser1,9.12215
Riser1,8.45602
Riser1,8.5513
Riser1,8.32456
Riser1,9.29801
Riser1,8.85689
Riser1,8.52269
Riser1,9.60096
Riser1,8.5637
Riser1,9.25108
Riser1,8.02349
Riser1,9.01424
Riser1,8.69114
Riser1,9.84219
Riser1,8.90852
Riser1,8.33826
Riser1,8.93925
Riser1,8.54029
Riser1,8.87398
Riser1,9.02556
Riser1,9.34891
Riser1,9.93172
Riser1,10.15335
Riser1,8.29135
Riser1,9.08721
Riser1,8.82692
Riser1,9.6483
Riser1,8.93531
Riser1,8.9475
Riser1,8.55503
Riser1,9.1397
Riser1,9.5583
Riser1,8.90993
Riser1,8.7947
Riser1,8.24153
Riser1,8.67707
Riser1,8.89575
Riser1,8.81788
Riser1,8.97534
Riser1,8.7506
Riser1,8.2346
Riser1,9.93112
Riser1,9.46094
Riser1,8.66732
Riser1,8.82958
Riser1,8.84108
Riser1,8.63424
Riser1,8.43897
Riser1,9.83677
Riser1,9.0263
Riser1,9.67798
Riser1,9.49026
Riser1,8.78527
Riser1,9.64618
Riser1,9.11091
Riser1,9.52039
Riser1,8.96561
Riser1,8.42466
Riser1,9.22443
Riser1,8.97399
Riser1,8.96383
Riser2,8.62175
Riser2,9.3055
Riser2,8.90162
Riser2,8.82925
Riser2,8.93078
Riser2,9.58245
Riser2,8.63037
Riser2,9.03091
Riser2,11.07417
Riser2,8.22925
Riser2,8.25323
Riser2,9.29761
Riser2,9.1849
Riser2,8.87988
Riser2,9.28263
Riser2,8.78444
Riser2,8.84503
Riser2,8.59837
Riser2,8.90147
Riser2,8.71352
Riser2,9.47439
Riser2,9.51205
Riser2,9.46374
Riser2,8.50575
Riser2,8.95653
Riser2,8.58826
Riser2,9.92943
Riser2,9.35783
Riser2,9.46402
Riser2,8.59737
Riser2,8.24333
Riser2,9.00142
Riser2,8.69323
Riser2,9.87101
Riser2,9.69828
Riser2,8.27339
Riser2,9.47197
Riser2,8.64798
Riser2,8.65854
Riser2,8.36895
Riser2,8.77462
Riser2,9.1812
Riser2,9.59638
Riser2,8.62053
Riser2,9.64421
Riser2,9.35902
Riser2,8.38546
Riser2,9.25385
Riser2,8.19569
Riser2,8.81007
Riser2,8.59308
Riser2,9.18937
Riser2,8.97854
Riser2,9.20078
Riser2,8.62274
Riser2,8.73134
Riser2,9.51107
Riser2,9.67355
Riser2,9.13921
Riser2,8.4392
Riser2,9.20971
Riser2,8.88236
Riser2,9.40062
Riser2,9.33344
Riser2,8.60325
Riser2,9.31907
Riser2,8.82152
Riser2,8.923
Riser3,9.91097
Riser3,9.24439
Riser3,9.19278
Riser3,8.59797
Riser3,8.60078
Riser3,8.08447
Riser3,9.16825
Riser3,8.38753
Riser3,8.91496
Riser3,8.46333
Riser3,9.5739
Riser3,8.29631
Riser3,8.62033
Riser3,8.65362
Riser3,9.20504
Riser3,9.04826
Riser3,8.6088
Riser3,8.6828
Riser3,9.16633
Riser3,9.03229
Riser3,9.70099
Riser3,9.03999
Riser3,9.06666
Riser3,8.69262
Riser3,9.78159
Riser3,9.22866
Riser3,8.62339
Riser3,8.8525
Riser3,8.81384
Riser3,8.79218
Riser3,9.06884
Riser3,9.00291
Riser3,9.02132
Riser3,8.89863
Riser3,9.403
Riser3,8.47221
Riser3,8.75663
Riser3,8.93981
Riser3,9.73294
Riser3,9.21392
Riser3,8.79397
Riser3,9.05657
Riser3,9.43837
Riser3,9.37794
Riser3,8.31863
Riser3,9.48546
Riser3,9.13878
Riser3,9.61704
Riser3,9.19844
Riser3,9.8442
Riser3,8.75608
Riser3,9.00281
Riser3,9.04221
Riser3,9.51233
Riser3,8.54788
Riser3,8.66222
